,City,CompanyName,Date,From,JobLink,JobTitle_x,JobType,Job_ID,Position,Province,Salary,KeyWord,Skill_ID,Skill,JobTitle_y,Category
84,Calgary,ATB Financial,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=0271b3456b2ff5d9,Data Scientist,Not Informed,0271b3456b2ff5d9,['Data Scientist'], AB,['Permanent'], Cloud,40,Cloud,Data Scientist,Hard
85,Calgary,ATB Financial,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=0271b3456b2ff5d9,Data Scientist,Not Informed,0271b3456b2ff5d9,['Data Scientist'], AB,['Permanent'], MySQL,44,MySQL,Data Scientist,Hard
86,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Python,1,Python,Data Scientist,Hard
87,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, SQL,2,SQL,Data Scientist,Hard
88,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Big Data,3,BigData,Data Scientist,Hard
89,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Math,6,Mathematcs,Data Scientist,Education
90,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Statistics,8,Statistics,Data Scientist,Major
91,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Machine Learning,9,Machine Learning,Data Scientist,Hard
92,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, AI,10,Artificial Intelligence,Data Scientist,major
93,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, R,11,R,Data Scientist,Hard
94,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Master,13,Master,Data Scientist,Education
95,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Spark,14,Spark,Data Scientist,Hard
96,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Hadoop,22,Hadoop,Data Scientist,Hard
97,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, PhD,24,PhD,Data Scientist,Education
98,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Computer Science,25,Computer Science,Data Scientist,Major
